IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
16.163.18.210,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,285,27.34
18.167.20.205,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,310,25.69
16.162.37.167,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,322,22.23
18.167.194.154,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,357,20.31
16.162.37.123,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,346,18.59
18.163.233.64,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,307,16.24
18.162.246.23,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,536,14.87
18.162.32.152,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,369,14.57
43.198.53.11,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,279,14.1
18.167.208.181,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,305,13.09
16.162.10.198,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,305,13.06
43.198.18.47,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,301,12.96
16.162.152.191,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,345,11.71
18.162.40.255,443,TRUE,HK,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,310,10.32
8.218.188.129,2053,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",366,19.34
47.243.183.127,443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",388,18.21
8.217.193.25,2053,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",398,17.11
8.218.188.129,2096,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",394,17.04
47.76.37.57,2083,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",413,14.08
8.217.193.25,8443,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",427,11.97
8.217.193.25,2096,TRUE,HK,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",398,10.41
35.79.25.73,8443,TRUE,JP,JP,Asia Pacific,Tokyo,16509,AMAZON-02,377,28.22
18.183.137.85,2083,TRUE,JP,JP,Asia Pacific,Tokyo,16509,AMAZON-02,325,25.28
18.183.158.211,443,TRUE,JP,JP,Asia Pacific,Tokyo,16509,AMAZON-02,407,13.39
52.193.4.149,443,TRUE,JP,JP,Asia Pacific,Tokyo,16509,AMAZON-02,389,10.05
52.147.69.148,443,TRUE,JP,JP,Asia Pacific,Osaka,8075,MICROSOFT-CORP-MSN-AS-BLOCK,442,18.03
128.22.132.227,443,TRUE,JP,JP,Asia Pacific,Osaka,17511,OPTAGE Inc.,407,14.26
140.238.13.96,443,TRUE,KR,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,323,16.71
132.145.83.155,33799,TRUE,KR,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,253,16.26
146.56.167.251,443,TRUE,KR,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,307,15.98
140.238.28.86,443,TRUE,KR,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,284,11.3
13.125.218.78,443,TRUE,KR,KR,Asia Pacific,Seoul,16509,AMAZON-02,254,19.42
13.124.120.105,443,TRUE,KR,KR,Asia Pacific,Seoul,16509,AMAZON-02,260,13.11
13.124.120.105,2087,TRUE,KR,KR,Asia Pacific,Seoul,16509,AMAZON-02,292,10.11
47.128.231.39,443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,513,20.54
47.128.164.52,9999,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,439,18.97
18.143.94.44,8443,TRUE,SG,SG,Asia Pacific,Singapore,16509,AMAZON-02,441,12.99
213.35.98.197,2087,TRUE,SG,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,574,10.58
13.231.202.30,2086,TRUE,TW,TW,Asia Pacific,Taipei,16509,AMAZON-02,341,24.23
43.207.156.148,2086,TRUE,TW,TW,Asia Pacific,Taipei,16509,AMAZON-02,342,23.59
38.47.125.129,8443,TRUE,JP,JP,Asia Pacific,Tokyo,400464,VMISS,268,25.98
45.32.81.251,8443,TRUE,US,US,North America,Los Angeles,20473,AS-CHOOPA,1362,12.39
149.28.94.159,443,TRUE,US,US,North America,Los Angeles,20473,AS-CHOOPA,1184,11.98
38.49.46.84,443,TRUE,US,US,North America,Los Angeles,8796,FD-298-8796,1171,10.45
154.17.28.199,8001,TRUE,US,US,North America,Los Angeles,906,DMIT,645,10.04
,,,,,,,,,,
